model,prompt,precision,recall,f1-score,accuracy
llama3.1:8b ,basic_prompt,0.46802763414540144,0.4675572519083969,0.46770342438120655,0.4675572519083969
llama3:instruct,basic_prompt,0.6678270418470179,0.605248464544947,0.5774462206675082,0.605248464544947
llama3:instruct,complex_zero_shot,0.6318290230713557,0.5881365416899832,0.5742356429607833,0.5881365416899832
llama3:instruct,cot,0.6574820558692335,0.5558659217877095,0.5053018168747276,0.5558659217877095
llama3:instruct,few_shot,0.6810361384230221,0.5442329227323628,0.4696069781048495,0.5442329227323628
llama3:instruct,one_shot,0.6655876378090629,0.5484051482932288,0.48140866792962744,0.5484051482932288
llama3:instruct,simple_zero_shot,0.673624523519056,0.542713567839196,0.4747339151515904,0.542713567839196
gemma:instruct,basic_prompt,0.5772661941763959,0.5452513966480447,0.5344449568622206,0.5452513966480447
gemma:instruct,complex_zero_shot,0.5968815728390762,0.5914598961338718,0.5898483764565164,0.5914598961338718
gemma:instruct,cot,0.5913347577485512,0.592156862745098,0.5904454728810251,0.592156862745098
gemma:instruct,few_shot,0.5748139132987768,0.5726435152374203,0.5666044255861584,0.5726435152374203
gemma:instruct,one_shot,0.5732174296625595,0.564217610768368,0.5601764375828427,0.564217610768368
gemma:instruct,simple_zero_shot,0.5724013634602697,0.5595970900951315,0.5545072007582086,0.5595970900951315
mistral:instruct,basic_prompt,0.5790989027095255,0.5402234636871508,0.5121859572051425,0.5402234636871508
mistral:instruct,complex_zero_shot,0.6195163301833632,0.6217877094972067,0.6172390732617117,0.6217877094972067
mistral:instruct,cot,0.6787581468495554,0.6327812678469446,0.6173264350042091,0.6327812678469446
mistral:instruct,few_shot,0.6311372236307186,0.6311030741410488,0.6236787142517554,0.6311030741410488
mistral:instruct,one_shot,0.6234392916729372,0.6242424242424243,0.6198790467700083,0.6242424242424243
mistral:instruct,simple_zero_shot,0.6389948146224169,0.6346368715083799,0.622668906493894,0.6346368715083799
SentiStrength,N/A,0.6463802655044598,0.5683975432719152,0.5562818151917401,0.5683975432719152
SentiStrengthSE,N/A,0.7066582079909587,0.6348408710217756,0.6452045648062108,0.6348408710217756
SentiCR,N/A,0.32889708731799167,0.4701284198771636,0.3810256594430214,0.4701284198771636
DEVA,N/A,0.6838697090869034,0.6460078168620882,0.6505742547419898,0.6460078168620882
Senti4SD,N/A,0.6104299374932821,0.6085985482970407,0.6043510543204018,0.6085985482970407
